energy_id,date,building,meter_id,units_consumed_kwh,electricity_cost,peak_hour_units
ENG000367,2026-02-22,Hostel B,MTR-03,1163.95,10417.3,423.54
ENG000368,2026-02-22,Library,MTR-04,596.04,4599.53,300.35
ENG000369,2026-02-22,Canteen,MTR-05,475.23,3566.2,211.29
ENG000370,2026-02-22,Computer Lab,MTR-06,1402.93,12209.76,658.71
ENG000371,2026-02-22,Admin Block,MTR-07,416.87,2974.1,202.6
ENG000372,2026-02-23,Academic Block,MTR-01,902.11,7486.89,472.68
ENG000373,2026-02-23,Hostel A,MTR-02,1000.61,7591.62,519.41
ENG000374,2026-02-23,Hostel B,MTR-03,866.44,7493.28,345.32
ENG000375,2026-02-23,Library,MTR-04,684.45,6114.0,344.34
ENG000376,2026-02-23,Canteen,MTR-05,438.87,3816.37,218.53
ENG000377,2026-02-23,Computer Lab,MTR-06,1080.32,8624.38,385.15
ENG000378,2026-02-23,Admin Block,MTR-07,332.27,2513.16,172.41
ENG000379,2026-02-24,Academic Block,MTR-01,1063.83,8663.59,583.87
ENG000380,2026-02-24,Hostel A,MTR-02,940.81,7831.15,332.0
ENG000381,2026-02-24,Hostel B,MTR-03,1028.52,9015.55,483.73
ENG000382,2026-02-24,Library,MTR-04,683.78,6096.29,274.83
ENG000383,2026-02-24,Canteen,MTR-05,474.8,3493.3,218.8
ENG000384,2026-02-24,Computer Lab,MTR-06,1272.64,10224.47,557.16
ENG000385,2026-02-24,Admin Block,MTR-07,315.99,2539.27,139.52
ENG000386,2026-02-25,Academic Block,MTR-01,877.73,6955.29,442.15
ENG000387,2026-02-25,Hostel A,MTR-02,1145.42,10055.31,429.88
ENG000388,2026-02-25,Hostel B,MTR-03,1043.06,9331.42,543.51
ENG000389,2026-02-25,Library,MTR-04,547.43,4847.32,220.68
ENG000390,2026-02-25,Canteen,MTR-05,375.22,3172.35,164.12
ENG000391,2026-02-25,Computer Lab,MTR-06,1473.58,10454.2,784.47
ENG000392,2026-02-25,Admin Block,MTR-07,398.7,3434.65,159.58
ENG000393,2026-02-26,Academic Block,MTR-01,1183.66,8916.71,571.61
ENG000394,2026-02-26,Hostel A,MTR-02,1192.06,8404.92,470.54
ENG000395,2026-02-26,Hostel B,MTR-03,1175.0,9965.1,499.06
ENG000396,2026-02-26,Library,MTR-04,706.77,5243.73,335.96
ENG000397,2026-02-26,Canteen,MTR-05,502.6,3621.03,274.86
ENG000398,2026-02-26,Computer Lab,MTR-06,1334.08,11402.03,479.56
ENG000399,2026-02-26,Admin Block,MTR-07,336.11,2852.07,140.53
ENG000400,2026-02-27,Academic Block,MTR-01,944.51,8303.53,416.44
ENG000401,2026-02-27,Hostel A,MTR-02,1359.98,11134.15,656.92
ENG000402,2026-02-27,Hostel B,MTR-03,1099.8,8355.54,478.59
ENG000403,2026-02-27,Library,MTR-04,734.79,6394.37,360.88
ENG000404,2026-02-27,Canteen,MTR-05,446.84,3415.73,184.43
ENG000405,2026-02-27,Computer Lab,MTR-06,1049.32,9378.75,512.94
ENG000406,2026-02-27,Admin Block,MTR-07,436.06,3163.44,163.48
ENG000407,2026-02-28,Academic Block,MTR-01,893.63,7741.07,490.37
ENG000408,2026-02-28,Hostel A,MTR-02,1166.05,8331.12,538.18
ENG000409,2026-02-28,Hostel B,MTR-03,976.36,8308.56,364.06
ENG000410,2026-02-28,Library,MTR-04,621.34,4682.21,231.51
ENG000411,2026-02-28,Canteen,MTR-05,451.99,3901.25,184.19
ENG000412,2026-02-28,Computer Lab,MTR-06,1268.09,10984.66,572.09
ENG000413,2026-02-28,Admin Block,MTR-07,461.93,3717.01,172.34
ENG000414,2026-03-01,Academic Block,MTR-01,819.07,6656.75,326.91
ENG000415,2026-03-01,Hostel A,MTR-02,1084.79,9631.92,396.46
ENG000416,2026-03-01,Hostel B,MTR-03,1175.26,9092.13,545.08
ENG000417,2026-03-01,Library,MTR-04,563.11,4566.74,277.47
ENG000418,2026-03-01,Canteen,MTR-05,400.17,3266.97,189.22
ENG000419,2026-03-01,Computer Lab,MTR-06,1190.01,10094.65,424.59
ENG000420,2026-03-01,Admin Block,MTR-07,454.92,3500.86,207.8
ENG000421,2026-03-02,Academic Block,MTR-01,866.39,6686.18,369.73
ENG000422,2026-03-02,Hostel A,MTR-02,1217.61,10335.93,528.16
ENG000423,2026-03-02,Hostel B,MTR-03,1040.81,8834.0,507.61
ENG000424,2026-03-02,Library,MTR-04,671.88,5416.36,359.09
ENG000425,2026-03-02,Canteen,MTR-05,437.96,3672.94,177.88
ENG000426,2026-03-02,Computer Lab,MTR-06,1219.16,9216.53,522.85
ENG000427,2026-03-02,Admin Block,MTR-07,429.67,3217.97,184.06
ENG000428,2026-03-03,Academic Block,MTR-01,1099.18,8287.19,557.05
ENG000429,2026-03-03,Hostel A,MTR-02,953.18,7706.51,339.34
ENG000430,2026-03-03,Hostel B,MTR-03,772.04,5470.5,385.49
ENG000431,2026-03-03,Library,MTR-04,605.4,4879.46,221.73
ENG000432,2026-03-03,Canteen,MTR-05,447.04,3726.42,169.07
ENG000433,2026-03-03,Computer Lab,MTR-06,1249.54,10444.54,443.73
ENG000434,2026-03-03,Admin Block,MTR-07,363.44,2633.65,169.66
ENG000435,2026-03-04,Academic Block,MTR-01,857.5,6809.16,310.3
ENG000436,2026-03-04,Hostel A,MTR-02,1254.49,9359.71,523.51
ENG000437,2026-03-04,Hostel B,MTR-03,1059.7,8774.21,451.86
ENG000438,2026-03-04,Library,MTR-04,600.64,4622.0,227.17
ENG000439,2026-03-04,Canteen,MTR-05,371.56,3148.76,133.75
ENG000440,2026-03-04,Computer Lab,MTR-06,1034.85,8960.67,548.77
ENG000441,2026-03-04,Admin Block,MTR-07,363.7,3005.82,156.51
ENG000442,2026-03-05,Academic Block,MTR-01,964.24,8058.16,445.84
ENG000443,2026-03-05,Hostel A,MTR-02,1092.49,9792.87,386.97
ENG000444,2026-03-05,Hostel B,MTR-03,922.63,7004.11,330.09
ENG000445,2026-03-05,Library,MTR-04,836.08,6567.67,399.44
ENG000446,2026-03-05,Canteen,MTR-05,361.09,2877.42,140.64
ENG000447,2026-03-05,Computer Lab,MTR-06,1475.23,12986.58,641.94
ENG000448,2026-03-05,Admin Block,MTR-07,464.83,3347.5,195.94
ENG000449,2026-03-06,Academic Block,MTR-01,1178.75,10210.52,526.58
ENG000450,2026-03-06,Hostel A,MTR-02,1303.86,10658.87,620.95
ENG000451,2026-03-06,Hostel B,MTR-03,832.71,6134.48,387.36
ENG000452,2026-03-06,Library,MTR-04,669.46,5875.23,275.77
ENG000453,2026-03-06,Canteen,MTR-05,452.9,3353.91,186.51
ENG000454,2026-03-06,Computer Lab,MTR-06,1368.14,11377.79,682.67
ENG000455,2026-03-06,Admin Block,MTR-07,384.07,2974.56,198.57
ENG000456,2026-03-07,Academic Block,MTR-01,780.68,5481.23,303.27
ENG000457,2026-03-07,Hostel A,MTR-02,1135.4,8665.79,422.61
ENG000458,2026-03-07,Hostel B,MTR-03,1173.76,10436.72,544.3
ENG000459,2026-03-07,Library,MTR-04,601.74,5393.91,313.4
ENG000460,2026-03-07,Canteen,MTR-05,422.65,3679.72,227.66
ENG000461,2026-03-07,Computer Lab,MTR-06,1202.34,10294.59,658.98
ENG000462,2026-03-07,Admin Block,MTR-07,436.95,3066.41,191.15
ENG000463,2026-03-08,Academic Block,MTR-01,1061.57,8610.78,381.19
ENG000464,2026-03-08,Hostel A,MTR-02,1162.23,8207.99,594.2
ENG000465,2026-03-08,Hostel B,MTR-03,1068.45,8229.58,409.66
ENG000466,2026-03-08,Library,MTR-04,531.26,4400.56,234.32
ENG000467,2026-03-08,Canteen,MTR-05,471.25,3617.17,254.35
ENG000468,2026-03-08,Computer Lab,MTR-06,1436.25,12923.61,696.1
ENG000469,2026-03-08,Admin Block,MTR-07,356.24,2972.59,156.21
ENG000470,2026-03-09,Academic Block,MTR-01,897.85,6730.25,385.18
ENG000471,2026-03-09,Hostel A,MTR-02,952.34,7984.92,450.27
ENG000472,2026-03-09,Hostel B,MTR-03,1087.32,8251.89,589.2
ENG000473,2026-03-09,Library,MTR-04,760.48,5948.02,287.04
ENG000474,2026-03-09,Canteen,MTR-05,430.82,3826.57,212.29
ENG000475,2026-03-09,Computer Lab,MTR-06,1149.88,10223.82,434.69
ENG000476,2026-03-09,Admin Block,MTR-07,339.16,2571.41,119.23
ENG000477,2026-03-10,Academic Block,MTR-01,1018.23,8573.55,416.58
ENG000478,2026-03-10,Hostel A,MTR-02,1076.79,8163.01,392.62
ENG000479,2026-03-10,Hostel B,MTR-03,1053.03,9188.51,431.38
ENG000480,2026-03-10,Library,MTR-04,704.4,5104.68,287.6
ENG000481,2026-03-10,Canteen,MTR-05,465.12,3336.43,244.27
ENG000482,2026-03-10,Computer Lab,MTR-06,1052.74,7896.15,482.19
ENG000483,2026-03-10,Admin Block,MTR-07,367.63,3190.74,144.23
ENG000484,2026-03-11,Academic Block,MTR-01,1094.17,9118.01,522.63
ENG000485,2026-03-11,Hostel A,MTR-02,1382.12,10740.81,640.59
ENG000486,2026-03-11,Hostel B,MTR-03,1139.95,9838.72,540.97
ENG000487,2026-03-11,Library,MTR-04,704.04,5262.36,366.48
ENG000488,2026-03-11,Canteen,MTR-05,458.42,3616.14,199.85
ENG000489,2026-03-11,Computer Lab,MTR-06,1362.2,11117.33,545.54
ENG000490,2026-03-11,Admin Block,MTR-07,397.88,2791.19,155.51
ENG000491,2026-03-12,Academic Block,MTR-01,929.97,7967.6,412.19
ENG000492,2026-03-12,Hostel A,MTR-02,953.64,8297.21,352.9
ENG000493,2026-03-12,Hostel B,MTR-03,1014.96,7285.38,467.24
ENG000494,2026-03-12,Library,MTR-04,801.77,7171.94,393.99
ENG000495,2026-03-12,Canteen,MTR-05,495.32,4120.02,206.84
ENG000496,2026-03-12,Computer Lab,MTR-06,1165.84,8292.28,458.42
ENG000497,2026-03-12,Admin Block,MTR-07,400.96,3287.5,216.68
ENG000498,2026-03-13,Academic Block,MTR-01,745.2,6168.24,332.51
ENG000499,2026-03-13,Hostel A,MTR-02,1145.8,8509.56,545.43
ENG000500,2026-03-13,Hostel B,MTR-03,1053.16,8077.79,425.79
ENG000501,2026-03-13,Library,MTR-04,626.12,4948.05,321.14
ENG000502,2026-03-13,Canteen,MTR-05,409.84,3296.71,168.41
ENG000503,2026-03-13,Computer Lab,MTR-06,1281.5,10292.64,681.16
ENG000504,2026-03-13,Admin Block,MTR-07,378.81,2663.75,186.31
ENG000505,2026-03-14,Academic Block,MTR-01,894.97,6685.97,327.73
ENG000506,2026-03-14,Hostel A,MTR-02,1033.25,9035.3,373.12
ENG000507,2026-03-14,Hostel B,MTR-03,1187.61,10430.18,555.15
ENG000508,2026-03-14,Library,MTR-04,632.39,5554.51,318.51
ENG000509,2026-03-14,Canteen,MTR-05,465.92,4171.08,248.16
ENG000510,2026-03-14,Computer Lab,MTR-06,1352.48,10484.66,719.15
ENG000511,2026-03-14,Admin Block,MTR-07,461.07,4096.08,178.66
ENG000512,2026-03-15,Academic Block,MTR-01,791.88,5800.08,343.54
ENG000513,2026-03-15,Hostel A,MTR-02,1049.44,8067.76,488.51
ENG000514,2026-03-15,Hostel B,MTR-03,1068.36,9369.88,476.98
ENG000515,2026-03-15,Library,MTR-04,647.53,4921.14,265.04
ENG000516,2026-03-15,Canteen,MTR-05,410.8,3358.64,199.93
ENG000517,2026-03-15,Computer Lab,MTR-06,1241.65,9630.12,470.06
ENG000518,2026-03-15,Admin Block,MTR-07,334.09,2522.44,131.99
ENG000519,2026-03-16,Academic Block,MTR-01,999.28,7337.76,392.78
ENG000520,2026-03-16,Hostel A,MTR-02,974.52,6868.41,411.91
ENG000521,2026-03-16,Hostel B,MTR-03,1248.25,10080.4,577.0
ENG000522,2026-03-16,Library,MTR-04,668.5,5063.56,247.64
ENG000523,2026-03-16,Canteen,MTR-05,466.86,3520.13,201.5
ENG000524,2026-03-16,Computer Lab,MTR-06,1286.02,10245.27,523.43
ENG000525,2026-03-16,Admin Block,MTR-07,399.12,3411.01,146.62
ENG000526,2026-03-17,Academic Block,MTR-01,917.77,8159.86,329.59
ENG000527,2026-03-17,Hostel A,MTR-02,1184.03,9309.02,458.64
ENG000528,2026-03-17,Hostel B,MTR-03,1020.64,8203.69,435.95
ENG000529,2026-03-17,Library,MTR-04,507.31,3690.98,278.85
ENG000530,2026-03-17,Canteen,MTR-05,531.61,4630.2,199.14
ENG000531,2026-03-17,Computer Lab,MTR-06,1361.83,10509.3,681.17
ENG000532,2026-03-17,Admin Block,MTR-07,441.16,3296.93,181.93
ENG000533,2026-03-18,Academic Block,MTR-01,978.49,7271.55,464.31
ENG000534,2026-03-18,Hostel A,MTR-02,1181.09,9737.58,505.91
ENG000535,2026-03-18,Hostel B,MTR-03,1012.71,8649.22,413.31
ENG000536,2026-03-18,Library,MTR-04,565.9,4042.03,292.28
ENG000537,2026-03-18,Canteen,MTR-05,387.9,2903.53,174.12
ENG000538,2026-03-18,Computer Lab,MTR-06,1244.39,8887.86,620.99
ENG000539,2026-03-18,Admin Block,MTR-07,376.21,2728.38,145.94
ENG000540,2026-03-19,Academic Block,MTR-01,1131.07,8902.21,498.42
ENG000541,2026-03-19,Hostel A,MTR-02,1129.3,9749.49,538.76
ENG000542,2026-03-19,Hostel B,MTR-03,1189.36,8700.77,652.36
ENG000543,2026-03-19,Library,MTR-04,555.24,3965.67,222.02
ENG000544,2026-03-19,Canteen,MTR-05,403.18,3418.4,157.72
ENG000545,2026-03-19,Computer Lab,MTR-06,1288.93,9663.96,701.6
ENG000546,2026-03-19,Admin Block,MTR-07,451.01,3257.43,196.26
ENG000547,2026-03-20,Academic Block,MTR-01,1041.69,8034.3,475.29
ENG000548,2026-03-20,Hostel A,MTR-02,1088.17,8437.33,463.93
ENG000549,2026-03-20,Hostel B,MTR-03,1161.05,9344.0,587.07
ENG000550,2026-03-20,Library,MTR-04,796.81,6749.74,332.81
ENG000551,2026-03-20,Canteen,MTR-05,438.2,3199.33,160.96
ENG000552,2026-03-20,Computer Lab,MTR-06,1213.28,10505.26,602.28
ENG000553,2026-03-20,Admin Block,MTR-07,468.81,3387.53,231.53
ENG000554,2026-03-21,Academic Block,MTR-01,965.83,7869.25,510.43
ENG000555,2026-03-21,Hostel A,MTR-02,1049.7,8320.74,524.82
ENG000556,2026-03-21,Hostel B,MTR-03,1052.9,7455.4,385.02
ENG000557,2026-03-21,Library,MTR-04,727.94,6133.52,317.9
ENG000558,2026-03-21,Canteen,MTR-05,438.42,3252.91,235.91
ENG000559,2026-03-21,Computer Lab,MTR-06,1125.12,8964.85,578.21
ENG000560,2026-03-21,Admin Block,MTR-07,430.14,3855.19,155.24
ENG000561,2026-03-22,Academic Block,MTR-01,923.27,8065.34,463.44
ENG000562,2026-03-22,Hostel A,MTR-02,1239.25,11000.58,676.95
ENG000563,2026-03-22,Hostel B,MTR-03,957.35,8147.16,341.53
ENG000564,2026-03-22,Library,MTR-04,681.14,5245.87,288.04
ENG000565,2026-03-22,Canteen,MTR-05,490.27,3741.02,237.64
ENG000566,2026-03-22,Computer Lab,MTR-06,1052.73,9269.84,403.22
ENG000567,2026-03-22,Admin Block,MTR-07,418.35,3735.97,188.89
ENG000568,2026-03-23,Academic Block,MTR-01,958.08,8441.67,494.4
ENG000569,2026-03-23,Hostel A,MTR-02,976.16,8170.56,469.02
ENG000570,2026-03-23,Hostel B,MTR-03,1157.29,8264.91,620.91
ENG000571,2026-03-23,Library,MTR-04,655.83,5064.22,256.24
ENG000572,2026-03-23,Canteen,MTR-05,381.78,2806.15,190.29
ENG000573,2026-03-23,Computer Lab,MTR-06,918.03,6884.43,351.12
ENG000574,2026-03-23,Admin Block,MTR-07,344.04,2955.17,154.44
ENG000575,2026-03-24,Academic Block,MTR-01,953.79,7678.48,444.57
ENG000576,2026-03-24,Hostel A,MTR-02,1292.56,10915.75,656.96
ENG000577,2026-03-24,Hostel B,MTR-03,1147.23,9393.65,586.72
ENG000578,2026-03-24,Library,MTR-04,702.05,5444.5,284.47
ENG000579,2026-03-24,Canteen,MTR-05,451.31,4038.45,182.94
ENG000580,2026-03-24,Computer Lab,MTR-06,1506.21,11954.63,691.63
ENG000581,2026-03-24,Admin Block,MTR-07,415.41,3210.16,211.73
ENG000582,2026-03-25,Academic Block,MTR-01,901.22,7664.8,428.66
ENG000583,2026-03-25,Hostel A,MTR-02,1059.76,7508.45,539.9
ENG000584,2026-03-25,Hostel B,MTR-03,1106.28,9025.14,511.25
ENG000585,2026-03-25,Library,MTR-04,638.85,5441.0,266.72
ENG000586,2026-03-25,Canteen,MTR-05,329.77,2316.54,133.53
ENG000587,2026-03-25,Computer Lab,MTR-06,1216.9,10532.61,519.61
ENG000588,2026-03-25,Admin Block,MTR-07,367.05,2727.62,138.48
ENG000589,2026-03-26,Academic Block,MTR-01,1027.26,8523.09,542.25
ENG000590,2026-03-26,Hostel A,MTR-02,1213.61,9782.58,525.01
ENG000591,2026-03-26,Hostel B,MTR-03,984.31,8546.75,376.61
ENG000592,2026-03-26,Library,MTR-04,700.34,5149.65,275.36
ENG000593,2026-03-26,Canteen,MTR-05,464.71,3594.61,216.28
ENG000594,2026-03-26,Computer Lab,MTR-06,1357.9,9825.67,553.08
ENG000595,2026-03-26,Admin Block,MTR-07,413.65,3567.31,197.83
ENG000596,2026-03-27,Academic Block,MTR-01,1177.66,10031.9,600.08
ENG000597,2026-03-27,Hostel A,MTR-02,768.96,6089.63,403.61
ENG000598,2026-03-27,Hostel B,MTR-03,968.62,7142.39,420.04
ENG000599,2026-03-27,Library,MTR-04,599.68,4431.27,247.19
ENG000600,2026-03-27,Canteen,MTR-05,375.02,2890.22,205.39
ENG000601,2026-03-27,Computer Lab,MTR-06,1133.93,9365.15,561.11
ENG000602,2026-03-27,Admin Block,MTR-07,392.94,3068.23,205.07
ENG000603,2026-03-28,Academic Block,MTR-01,1021.81,8145.7,533.78
ENG000604,2026-03-28,Hostel A,MTR-02,1171.49,8985.27,474.37
ENG000605,2026-03-28,Hostel B,MTR-03,985.57,7118.3,487.3
ENG000606,2026-03-28,Library,MTR-04,668.69,4942.77,336.02
ENG000607,2026-03-28,Canteen,MTR-05,524.64,4060.86,224.45
ENG000608,2026-03-28,Computer Lab,MTR-06,1101.8,8857.71,603.7
ENG000609,2026-03-28,Admin Block,MTR-07,418.36,3340.03,224.44
ENG000610,2026-03-29,Academic Block,MTR-01,941.58,7850.08,487.53
ENG000611,2026-03-29,Hostel A,MTR-02,1235.57,9265.74,609.25
ENG000612,2026-03-29,Hostel B,MTR-03,1004.55,8050.1,371.76
ENG000613,2026-03-29,Library,MTR-04,694.93,5983.49,345.21
ENG000614,2026-03-29,Canteen,MTR-05,484.48,4289.35,254.43
ENG000615,2026-03-29,Computer Lab,MTR-06,1160.42,8307.45,587.85
ENG000616,2026-03-29,Admin Block,MTR-07,347.28,2777.96,155.65
ENG000617,2026-03-30,Academic Block,MTR-01,1218.62,9612.38,569.92
ENG000618,2026-03-30,Hostel A,MTR-02,1175.27,9610.03,499.24
ENG000619,2026-03-30,Hostel B,MTR-03,1074.31,9510.28,380.39
ENG000620,2026-03-30,Library,MTR-04,592.17,4390.03,215.43
ENG000621,2026-03-30,Canteen,MTR-05,337.76,2904.34,183.52
ENG000622,2026-03-30,Computer Lab,MTR-06,1356.9,11736.54,535.84
ENG000623,2026-03-30,Admin Block,MTR-07,445.1,3414.23,176.96
ENG000624,2026-03-31,Academic Block,MTR-01,1094.39,8526.67,545.66
ENG000625,2026-03-31,Hostel A,MTR-02,1250.5,9418.15,576.99
ENG000626,2026-03-31,Hostel B,MTR-03,1064.99,9086.47,449.7
ENG000627,2026-03-31,Library,MTR-04,574.54,4091.19,256.15
ENG000628,2026-03-31,Canteen,MTR-05,449.5,3615.54,194.55
ENG000629,2026-03-31,Computer Lab,MTR-06,1034.84,8612.14,468.98
ENG000630,2026-03-31,Admin Block,MTR-07,388.19,3191.99,204.02
ENG000631,2026-04-01,Academic Block,MTR-01,1059.28,7922.94,410.14
ENG000632,2026-04-01,Hostel A,MTR-02,1007.48,7370.96,478.18
ENG000633,2026-04-01,Hostel B,MTR-03,1163.34,8699.89,421.21
ENG000634,2026-04-01,Library,MTR-04,590.97,4924.36,264.44
ENG000635,2026-04-01,Canteen,MTR-05,385.54,2909.53,173.76
ENG000636,2026-04-01,Computer Lab,MTR-06,1440.76,12779.84,636.84
ENG000637,2026-04-01,Admin Block,MTR-07,376.7,3122.61,139.15
ENG000638,2026-04-02,Academic Block,MTR-01,886.42,7635.96,457.19
ENG000639,2026-04-02,Hostel A,MTR-02,932.66,7722.36,362.68
ENG000640,2026-04-02,Hostel B,MTR-03,985.52,7565.74,409.94
ENG000641,2026-04-02,Library,MTR-04,705.67,6298.75,247.41
ENG000642,2026-04-02,Canteen,MTR-05,396.37,3110.54,148.38
ENG000643,2026-04-02,Computer Lab,MTR-06,1095.52,8525.13,399.46
ENG000644,2026-04-02,Admin Block,MTR-07,410.48,3382.39,200.92
ENG000645,2026-04-03,Academic Block,MTR-01,962.93,7967.21,338.5
ENG000646,2026-04-03,Hostel A,MTR-02,1167.38,8189.84,598.22
ENG000647,2026-04-03,Hostel B,MTR-03,958.42,7229.91,358.04
ENG000648,2026-04-03,Library,MTR-04,723.68,6080.65,396.4
ENG000649,2026-04-03,Canteen,MTR-05,406.33,2882.57,173.22
ENG000650,2026-04-03,Computer Lab,MTR-06,1280.77,9151.12,497.52
ENG000651,2026-04-03,Admin Block,MTR-07,332.85,2669.83,168.28
ENG000652,2026-04-04,Academic Block,MTR-01,981.22,7594.02,530.46
ENG000653,2026-04-04,Hostel A,MTR-02,1266.45,10198.56,452.82
ENG000654,2026-04-04,Hostel B,MTR-03,916.49,7541.68,351.23
ENG000655,2026-04-04,Library,MTR-04,615.0,4927.52,282.98
ENG000656,2026-04-04,Canteen,MTR-05,547.47,4670.48,204.7
ENG000657,2026-04-04,Computer Lab,MTR-06,1121.08,8349.3,550.32
ENG000658,2026-04-04,Admin Block,MTR-07,368.72,2692.26,146.57
ENG000659,2026-04-05,Academic Block,MTR-01,847.99,6111.62,432.29
ENG000660,2026-04-05,Hostel A,MTR-02,991.94,7822.49,400.99
ENG000661,2026-04-05,Hostel B,MTR-03,1008.25,7762.36,399.06
ENG000662,2026-04-05,Library,MTR-04,658.54,4912.63,276.29
ENG000663,2026-04-05,Canteen,MTR-05,514.29,4024.24,264.41
ENG000664,2026-04-05,Computer Lab,MTR-06,1395.88,11255.78,647.37
ENG000665,2026-04-05,Admin Block,MTR-07,433.11,3232.54,230.37
ENG000666,2026-04-06,Academic Block,MTR-01,1165.19,10399.99,630.91
ENG000667,2026-04-06,Hostel A,MTR-02,1065.22,9093.29,484.78
ENG000668,2026-04-06,Hostel B,MTR-03,990.0,7348.91,385.3
ENG000669,2026-04-06,Library,MTR-04,652.39,4577.29,319.92
ENG000670,2026-04-06,Canteen,MTR-05,325.27,2429.17,136.86
ENG000671,2026-04-06,Computer Lab,MTR-06,1210.15,9650.9,637.18
ENG000672,2026-04-06,Admin Block,MTR-07,381.85,2906.43,139.39
ENG000673,2026-04-07,Academic Block,MTR-01,846.99,6563.57,328.25
ENG000674,2026-04-07,Hostel A,MTR-02,1369.77,11852.36,540.02
ENG000675,2026-04-07,Hostel B,MTR-03,1004.55,7560.77,445.08
ENG000676,2026-04-07,Library,MTR-04,634.05,4482.84,288.52
ENG000677,2026-04-07,Canteen,MTR-05,447.25,3347.09,245.92
ENG000678,2026-04-07,Computer Lab,MTR-06,1361.38,12130.4,620.88
ENG000679,2026-04-07,Admin Block,MTR-07,380.96,3156.15,146.08
ENG000680,2026-04-08,Academic Block,MTR-01,894.17,7987.34,427.12
ENG000681,2026-04-08,Hostel A,MTR-02,1086.41,9611.38,578.82
ENG000682,2026-04-08,Hostel B,MTR-03,1052.72,7425.13,461.56
ENG000683,2026-04-08,Library,MTR-04,657.82,5029.48,306.11
ENG000684,2026-04-08,Canteen,MTR-05,393.18,3464.42,173.68
ENG000685,2026-04-08,Computer Lab,MTR-06,1062.53,8505.18,404.81
ENG000686,2026-04-08,Admin Block,MTR-07,388.37,3069.57,196.61
ENG000687,2026-04-09,Academic Block,MTR-01,878.3,7740.07,370.82
ENG000688,2026-04-09,Hostel A,MTR-02,1262.24,11104.36,535.44
ENG000689,2026-04-09,Hostel B,MTR-03,1100.8,8283.92,583.24
ENG000690,2026-04-09,Library,MTR-04,699.28,4897.75,337.59
ENG000691,2026-04-09,Canteen,MTR-05,551.55,3920.33,296.52
ENG000692,2026-04-09,Computer Lab,MTR-06,1484.83,10724.83,535.78
ENG000693,2026-04-09,Admin Block,MTR-07,430.71,3284.38,196.36
ENG000694,2026-04-10,Academic Block,MTR-01,1103.09,9438.16,464.01
ENG000695,2026-04-10,Hostel A,MTR-02,948.52,7818.15,381.79
ENG000696,2026-04-10,Hostel B,MTR-03,956.84,6851.35,401.09
ENG000697,2026-04-10,Library,MTR-04,660.76,4867.66,344.9
ENG000698,2026-04-10,Canteen,MTR-05,506.96,3898.18,202.77
ENG000699,2026-04-10,Computer Lab,MTR-06,1210.41,10527.06,660.34
ENG000700,2026-04-10,Admin Block,MTR-07,341.39,2893.81,146.55
ENG000701,2026-04-11,Academic Block,MTR-01,867.89,6766.38,355.95
ENG000702,2026-04-11,Hostel A,MTR-02,1181.14,8750.56,504.76
ENG000703,2026-04-11,Hostel B,MTR-03,1044.03,8118.98,441.48
ENG000704,2026-04-11,Library,MTR-04,681.16,4907.94,288.68
ENG000705,2026-04-11,Canteen,MTR-05,531.34,4243.84,249.5
ENG000706,2026-04-11,Computer Lab,MTR-06,1131.36,8604.38,459.49
ENG000707,2026-04-11,Admin Block,MTR-07,357.11,3141.02,131.97
ENG000708,2026-04-12,Academic Block,MTR-01,891.96,7678.72,373.52
ENG000709,2026-04-12,Hostel A,MTR-02,1133.73,9520.65,600.23
ENG000710,2026-04-12,Hostel B,MTR-03,983.95,8849.26,402.58
ENG000711,2026-04-12,Library,MTR-04,656.69,4670.7,358.99
ENG000712,2026-04-12,Canteen,MTR-05,481.39,4210.24,219.69
ENG000713,2026-04-12,Computer Lab,MTR-06,1320.13,9723.82,552.28
ENG000714,2026-04-12,Admin Block,MTR-07,358.9,2552.38,162.23
ENG000715,2026-04-13,Academic Block,MTR-01,1031.06,8636.59,408.27
ENG000716,2026-04-13,Hostel A,MTR-02,1069.15,7841.54,398.74
ENG000717,2026-04-13,Hostel B,MTR-03,1026.57,7688.58,464.54
ENG000718,2026-04-13,Library,MTR-04,589.08,4858.85,233.21
ENG000719,2026-04-13,Canteen,MTR-05,352.48,2475.4,166.15
ENG000720,2026-04-13,Computer Lab,MTR-06,1198.93,9943.04,565.82
ENG000721,2026-04-13,Admin Block,MTR-07,373.3,2883.49,199.85
ENG000722,2026-04-14,Academic Block,MTR-01,817.0,6999.16,333.0
ENG000723,2026-04-14,Hostel A,MTR-02,980.94,8618.55,491.46
ENG000724,2026-04-14,Hostel B,MTR-03,1342.46,9726.49,619.34
ENG000725,2026-04-14,Library,MTR-04,753.62,5786.69,339.84
ENG000726,2026-04-14,Canteen,MTR-05,530.34,4575.19,218.35
ENG000727,2026-04-14,Computer Lab,MTR-06,1345.06,9600.43,641.84
ENG000728,2026-04-14,Admin Block,MTR-07,423.36,2973.06,168.36
ENG000729,2026-04-15,Academic Block,MTR-01,903.57,7828.99,433.76
ENG000730,2026-04-15,Hostel A,MTR-02,1041.17,9123.63,424.34
ENG000731,2026-04-15,Hostel B,MTR-03,1057.99,8459.56,539.66
ENG000732,2026-04-15,Library,MTR-04,610.48,4634.95,224.56
ENG000733,2026-04-15,Canteen,MTR-05,453.12,3633.39,227.96
